PNA,CITY,ADRESS,WOJ,COU,ADRESS_2,MUN
22-546, Adelina,werbkowice hrubieszowski,lubelskie,hrubieszowski,werbkowice ,werbkowice
24-350, Adelina,chodel opolski,lubelskie,opolski,chodel ,chodel
97-330, Adelinów,sulejów piotrkowski,łódzkie,piotrkowski,sulejów ,sulejów
26-260, Adelinów,fałków konecki,świętokrzyskie,konecki,fałków ,fałków
22-130, Adolfin,siedliszcze chełmski,lubelskie,chełmski,siedliszcze ,siedliszcze
26-670, Adolfin,pionki radomski,mazowieckie,radomski,pionki ,pionki
97-340, Adolfinów,rozprza piotrkowski,łódzkie,piotrkowski,rozprza ,rozprza
62-068, Adolfowo,rakoniewice grodziski,wielkopolskie,grodziski,rakoniewice ,rakoniewice
95-100, Adolfów,zgierz zgierski,łódzkie,zgierski,zgierz ,zgierz
08-322, Adolfów,ceranów sokołowski,mazowieckie,sokołowski,ceranów ,ceranów
26-330, Afryka,żarnów opoczyński,łódzkie,opoczyński,żarnów ,żarnów
23-230, Agatówka,trzydnik duży kraśnicki,lubelskie,kraśnicki,trzydnik duży ,trzydnik duży
37-450, Agatówka,zaleszany stalowowolski,podkarpackie,stalowowolski,zaleszany ,zaleszany
87-890, Agnieszkowo,lubraniec włocławski,kujawsko-pomorskie,włocławski,lubraniec ,lubraniec
09-227, Agnieszkowo,szczutowo sierpecki,mazowieckie,sierpecki,szczutowo ,szczutowo
97-212, Agnopol,budziszewice tomaszowski,łódzkie,tomaszowski,budziszewice ,budziszewice
16-424, Agrafinówka,filipów suwalski,podlaskie,suwalski,filipów ,filipów
37-734, Aksmanice,fredropol przemyski,podkarpackie,przemyski,fredropol ,fredropol
26-067, Akwizgran,strawczyn kielecki,świętokrzyskie,kielecki,strawczyn ,strawczyn
62-065, Albertowsko,grodzisk wielkopolski grodziski,wielkopolskie,opolski,grodzisk wielk grodziski,grodzisk
21-013, Albertów,puchaczów łęczyński,lubelskie,łęczyński,puchaczów ,puchaczów
95-083, Albertów,lutomiersk pabianicki,łódzkie,pabianicki,lutomiersk ,lutomiersk
97-217, Albertów,lubochnia tomaszowski,łódzkie,tomaszowski,lubochnia ,lubochnia
97-221, Albertów,rokiciny tomaszowski,łódzkie,tomaszowski,rokiciny ,rokiciny
42-165, Albertów,lipie kłobucki,śląskie,kłobucki,lipie ,lipie
62-700, Albertów,turek turecki,wielkopolskie,turecki,turek ,turek
37-122, Albigowa,łańcut łańcucki,podkarpackie,łańcucki,łańcut ,łańcut
95-015, Albinów,głowno zgierski,łódzkie,zgierski,głowno ,głowno
08-122, Albinów,kotuń siedlecki,mazowieckie,siedlecki,kotuń ,kotuń
08-330, Albinów,kosów lacki sokołowski,mazowieckie,sokołowski,kosów lacki ,kosów lacki
23-450, Albinów Duży,goraj biłgorajski,lubelskie,biłgorajski,goraj ,goraj
23-450, Albinów Mały,goraj biłgorajski,lubelskie,biłgorajski,goraj ,goraj
95-035, Aleksandria,ozorków zgierski,łódzkie,zgierski,ozorków ,ozorków
05-192," Aleksandria,""4-6, 7-9(n), Nowe Miasto płoński"",mazowieckie",ozorków zgierski,łódzkie,zgierski,ozorków ,ozorków
05-192," Aleksandria,""4-6, 7-9(n), Nowe Miasto płoński"",mazowieckie",12-15,łódzkie,,12-15,
09-120," Aleksandria,""8-10(p), 11, 31 Nowe Miasto płoński"",mazowieckie",12-15,łódzkie,,12-15,
96-330, Aleksandria,puszcza mariańska żyrardowski,mazowieckie,żyrardowski,puszcza mariańska ,puszcza mariańska
42-274, Aleksandria (Aleksandria Druga),konopiska częstochowski,śląskie,częstochowski,konopiska ,konopiska
42-274, Aleksandria (Aleksandria Pierwsza),konopiska częstochowski,śląskie,częstochowski,konopiska ,konopiska
62-874, Aleksandria,brzeziny kaliski,wielkopolskie,kaliski,brzeziny ,brzeziny
22-360, Aleksandria Krzywowolska,rejowiec chełmski,lubelskie,chełmski,rejowiec ,rejowiec fabryczny
22-360, Aleksandria Niedziałowska,rejowiec chełmski,lubelskie,chełmski,rejowiec ,rejowiec fabryczny
56-160, Aleksandrowice,wińsko wołowski,dolnośląskie,wołowski,wińsko ,wińsko
32-084, Aleksandrowice,zabierzów krakowski,małopolskie,krakowski,zabierzów ,zabierzów
86-022, Aleksandrowiec,dobrcz bydgoski,kujawsko-pomorskie,bydgoski,dobrcz ,dobrcz
86-022, Aleksandrowo,dobrcz bydgoski,kujawsko-pomorskie,bydgoski,dobrcz ,dobrcz
87-880, Aleksandrowo,brześć kujawski włocławski,kujawsko-pomorskie,włocławski,brześć kujawski ,brześć kujawski
88-192, Aleksandrowo,barcin żniński,kujawsko-pomorskie,żniński,barcin ,barcin
07-402, Aleksandrowo,lelis ostrołęcki,mazowieckie,ostrołęcki,lelis ,lelis
07-405, Aleksandrowo,troszyn ostrołęcki,mazowieckie,ostrołęcki,troszyn ,troszyn
09-440, Aleksandrowo,staroźreby płocki,mazowieckie,płocki,staroźreby ,staroźreby
06-330, Aleksandrowo,chorzele przasnyski,mazowieckie,przasnyski,chorzele ,chorzele
16-503, Aleksandrowo,krasnopol sejneński,podlaskie,sejneński,krasnopol ,krasnopol
17-315, Aleksandrowo,grodzisk siemiatycki,podlaskie,siemiatycki,grodzisk ,grodzisk wielkopolski
16-423, Aleksandrowo,bakałarzewo suwalski,podlaskie,suwalski,bakałarzewo ,bakałarzewo
12-250, Aleksandrowo,orzysz piski,warmińsko-mazurskie,piski,orzysz ,orzysz
63-800, Aleksandrowo,gostyń gostyński,wielkopolskie,gostyński,gostyń ,gostyń
64-308, Aleksandrowo,rakoniewice grodziski,wielkopolskie,grodziski,rakoniewice ,rakoniewice
64-400, Aleksandrowo,międzychód międzychodzki,wielkopolskie,międzychodzki,międzychód ,międzychód
62-120, Aleksandrowo,wapno wągrowiecki,wielkopolskie,wągrowiecki,wapno ,wapno
23-408, Aleksandrów (Aleksandrów Trzeci),aleksandrów biłgorajski,lubelskie,biłgorajski,aleksandrów ,aleksandrów łódzki
23-408, Aleksandrów,aleksandrów biłgorajski,lubelskie,biłgorajski,aleksandrów ,aleksandrów łódzki
23-408, Aleksandrów (Aleksandrów Drugi),aleksandrów biłgorajski,lubelskie,biłgorajski,aleksandrów ,aleksandrów łódzki
23-408, Aleksandrów (Aleksandrów Pierwszy),aleksandrów biłgorajski,lubelskie,biłgorajski,aleksandrów ,aleksandrów łódzki
23-275, Aleksandrów,gościeradów kraśnicki,lubelskie,kraśnicki,gościeradów ,gościeradów
21-400, Aleksandrów,łuków łukowski,lubelskie,łukowski,łuków ,łuków
21-421, Aleksandrów,stanin łukowski,lubelskie,łukowski,stanin ,stanin
97-438, Aleksandrów,rusiec bełchatowski,łódzkie,bełchatowski,rusiec ,rusiec
99-307, Aleksandrów,strzelce kutnowski,łódzkie,kutnowski,strzelce ,strzelce wielkie
99-319, Aleksandrów,żychlin kutnowski,łódzkie,kutnowski,żychlin ,żychlin
26-337, Aleksandrów,aleksandrów piotrkowski,łódzkie,piotrkowski,aleksandrów ,aleksandrów łódzki
97-360, Aleksandrów,kamieńsk radomszczański,łódzkie,radomszczański,kamieńsk ,kamieńsk
96-230, Aleksandrów,biała rawska rawski,łódzkie,rawski,biała rawska ,biała rawska
97-225, Aleksandrów,ujazd tomaszowski,łódzkie,tomaszowski,ujazd ,ujazd
26-811, Aleksandrów,wyśmierzyce białobrzeski,mazowieckie,brzeski,wyśmierzyce biało,wyśmierzyce
