PNA,ADRESS,WOJ
22-360 Aleksandria Krzywowolska,Rejowiec chełmski,lubelskie
22-360 Aleksandria Niedziałowska,Rejowiec chełmski,lubelskie
56-160 Aleksandrowice,Wińsko wołowski,dolnośląskie
32-084 Aleksandrowice,Zabierzów krakowski,małopolskie
86-022 Aleksandrowiec,Dobrcz bydgoski,kujawsko-pomorskie
86-022 Aleksandrowo,Dobrcz bydgoski,kujawsko-pomorskie
87-880 Aleksandrowo,Brześć Kujawski włocławski,kujawsko-pomorskie
88-192 Aleksandrowo,Barcin żniński,kujawsko-pomorskie
07-402 Aleksandrowo,Lelis ostrołęcki,mazowieckie
07-405 Aleksandrowo,Troszyn ostrołęcki,mazowieckie
09-440 Aleksandrowo,Staroźreby płocki,mazowieckie
06-330 Aleksandrowo,Chorzele przasnyski,mazowieckie
16-503 Aleksandrowo,Krasnopol sejneński,podlaskie
17-315 Aleksandrowo,Grodzisk siemiatycki,podlaskie
16-423 Aleksandrowo,Bakałarzewo suwalski,podlaskie
12-250 Aleksandrowo,Orzysz piski,warmińsko-mazurskie
63-800 Aleksandrowo,Gostyń gostyński,wielkopolskie
64-308 Aleksandrowo,Rakoniewice grodziski,wielkopolskie
64-400 Aleksandrowo,Międzychód międzychodzki,wielkopolskie
62-120 Aleksandrowo,Wapno wągrowiecki,wielkopolskie
23-408 Aleksandrów (Aleksandrów Trzeci),Aleksandrów biłgorajski,lubelskie
23-408 Aleksandrów,Aleksandrów biłgorajski,lubelskie
23-408 Aleksandrów (Aleksandrów Drugi),Aleksandrów biłgorajski,lubelskie
23-408 Aleksandrów (Aleksandrów Pierwszy),Aleksandrów biłgorajski,lubelskie
23-275 Aleksandrów,Gościeradów kraśnicki,lubelskie
21-400 Aleksandrów,Łuków łukowski,lubelskie
21-421 Aleksandrów,Stanin łukowski,lubelskie
97-438 Aleksandrów,Rusiec bełchatowski,łódzkie
99-307 Aleksandrów,Strzelce kutnowski,łódzkie
99-319 Aleksandrów,Żychlin kutnowski,łódzkie
26-337 Aleksandrów,Aleksandrów piotrkowski,łódzkie
97-360 Aleksandrów,Kamieńsk radomszczański,łódzkie
96-230 Aleksandrów,Biała Rawska rawski,łódzkie
97-225 Aleksandrów,Ujazd tomaszowski,łódzkie
26-811 Aleksandrów,Wyśmierzyce białobrzeski,mazowieckie
08-450 Aleksandrów,Łaskarzew garwoliński,mazowieckie
09-540 Aleksandrów,Sanniki gostyniński,mazowieckie
05-652 Aleksandrów,Pniewy grójecki,mazowieckie
26-910 Aleksandrów,Magnuszew kozienicki,mazowieckie
05-126 Aleksandrów,Nieporęt legionowski,mazowieckie
27-350 Aleksandrów,Sienno lipski,mazowieckie
05-306 Aleksandrów,Jakubów miński,mazowieckie
05-152 Aleksandrów,Czosnów nowodworski,mazowieckie
05-530 Aleksandrów,Góra Kalwaria piaseczyński,mazowieckie
26-630 Aleksandrów,Jedlnia-Letnisko radomski,mazowieckie
96-521 Aleksandrów,Iłów sochaczewski,mazowieckie
96-514 Aleksandrów,Rybno sochaczewski,mazowieckie
26-510 Aleksandrów,Chlewiska szydłowiecki,mazowieckie
96-317 Aleksandrów,Wiskitki żyrardowski,mazowieckie
46-320 Aleksandrów,Praszka oleski,opolskie
42-230 Aleksandrów,Koniecpol częstochowski,śląskie
42-140 Aleksandrów,Panki kłobucki,śląskie
28-340 Aleksandrów,Sędziszów jędrzejowski,świętokrzyskie
28-340 Aleksandrów (Sadki),Sędziszów jędrzejowski,świętokrzyskie
28-425 Aleksandrów,Pińczów pińczowski,świętokrzyskie
62-831 Aleksandrów,Mycielin kaliski,wielkopolskie
62-652 Aleksandrów,Chodów kolski,wielkopolskie
62-652 Aleksandrów (Stawiska),Chodów kolski,wielkopolskie
62-652 Aleksandrów (Kocewia Mała),Chodów kolski,wielkopolskie
63-040 Aleksandrów,Nowe Miasto nad Wartą średzki,wielkopolskie
62-731 Aleksandrów,Przykona turecki,wielkopolskie
27-350 Aleksandrów Duży,Sienno lipski,mazowieckie
87-700 Aleksandrów Kujawski (Halinowo),Aleksandrów Kujawski aleksandrowski,kujawsko-pomorskie
87-700 Aleksandrów Kujawski,Aleksandrów Kujawski aleksandrowski,kujawsko-pomorskie
95-070 Aleksandrów Łódzki,Aleksandrów Łódzki zgierski,łódzkie
98-100 Aleksandrówek,Łask łaski,łódzkie
99-150 Aleksandrówek,Grabów łęczycki,łódzkie
99-200 Aleksandrówek,Poddębice poddębicki,łódzkie
62-580 Aleksandrówek,Grodziec koniński,wielkopolskie
21-570 Aleksandrówka,Drelów bialski,lubelskie
22-107 Aleksandrówka,Sawin chełmski,lubelskie
23-320 Aleksandrówka,Batorz janowski,lubelskie
21-140 Aleksandrówka,Michów lubartowski,lubelskie
21-450 Aleksandrówka,Stoczek Łukowski łukowski,lubelskie
21-450 Aleksandrówka (Chrusty),Stoczek Łukowski łukowski,lubelskie
99-321 Aleksandrówka,Żychlin kutnowski,łódzkie
05-622 Aleksandrówka,Belsk Duży grójecki,mazowieckie
26-900 Aleksandrówka,Kozienice kozienicki,mazowieckie
05-311 Aleksandrówka,Dębe Wielkie miński,mazowieckie
07-110 Aleksandrówka,Grębków węgrowski,mazowieckie
26-720 Aleksandrówka,Policzna zwoleński,mazowieckie
16-411 Aleksandrówka,Szypliszki suwalski,podlaskie
42-248 Aleksandrówka,Przyrów częstochowski,śląskie
62-600 Aleksandrówka,Koło kolski,wielkopolskie
09-500 Aleksandrynów,Gostynin gostyniński,mazowieckie
16-060 Aleksicze,Zabłudów białostocki,podlaskie
16-506 Aleksiejówka,Giby sejneński,podlaskie
05-604 Alfonsowo,Jasieniec grójecki,mazowieckie
98-105 Alfonsów,Wodzierady łaski,łódzkie
26-333 Alfonsów,Paradyż opoczyński,łódzkie
99-232 Alfonsów,Zadzim poddębicki,łódzkie
09-533 Alfonsów,Słubice płocki,mazowieckie
39-460 Alfredówka,Nowa Dęba tarnobrzeski,podkarpackie
62-540 Alinowo,Kleczew koniński,wielkopolskie
22-122 Alojzów,Leśniowice chełmski,lubelskie
22-550 Alojzów,Werbkowice hrubieszowski,lubelskie
27-100 Alojzów,Iłża radomski,mazowieckie
88-210 Altana,Dobre radziejowski,kujawsko-pomorskie
96-500 Altanka,Sochaczew sochaczewski,mazowieckie
66-439 Altona,Krzeszyce sulęciński,lubuskie
32-566 Alwernia,Alwernia chrzanowski,małopolskie
47-494 Amandów,Pietrowice Wielkie raciborski,śląskie
99-122 Ambrożew,Góra Świętej Małgorzaty łęczycki,łódzkie
27-225 Ambrożów,Pawłów starachowicki,świętokrzyskie
21-132 Amelin,Kamionka lubartowski,lubelskie
21-220 Amelin,Siemień parczewski,lubelskie
97-500 Amelin,Radomsko radomszczański,łódzkie
06-212 Amelin,Krasnosielc makowski,mazowieckie
26-001 Ameliówka,Masłów kielecki,świętokrzyskie
89-200 Ameryczka,Szubin nakielski,kujawsko-pomorskie
22-530 Ameryka,Mircze hrubieszowski,lubelskie
46-300 Ameryka,Olesno oleski,opolskie
11-015 Ameryka,Olsztynek olsztyński,warmińsko-mazurskie
95-045 Anastazew,Parzęczew zgierski,łódzkie
07-230 Anastazew,Zabrodzie wyszkowski,mazowieckie
62-436 Anastazewo,Powidz słupecki,wielkopolskie
97-400 Anastazów,Bełchatów bełchatowski,łódzkie
09-541 Anatolin,Pacyna gostyniński,mazowieckie
17-210 Ancuty,Narew hajnowski,podlaskie
95-020 Andrespol,Andrespol łódzki wschodni,łódzkie
27-650 Andruszkowice,Samborzec sandomierski,świętokrzyskie
34-120 Andrychów,Andrychów wadowicki,małopolskie
18-507 Andrychy,Grabowo kolneński,podlaskie
17-111 Andryjanki,Boćki bielski,podlaskie
07-305 Andrzejewo,Andrzejewo ostrowski,mazowieckie
07-305 Andrzejewo (Andrzejewo-Kolonie),Andrzejewo ostrowski,mazowieckie
07-305 Andrzejewo (Andrzejewo-Zarzecze),Andrzejewo ostrowski,mazowieckie
16-411 Andrzejewo,Szypliszki suwalski,podlaskie
18-400 Andrzejki (Pączkowizna),Łomża łomżyński,podlaskie
18-400 Andrzejki,Łomża łomżyński,podlaskie
07-407 Andrzejki-Tyszki,Czerwin ostrołęcki,mazowieckie
22-113 Andrzejów,Kamień chełmski,lubelskie
23-302 Andrzejów,Godziszów janowski,lubelskie
22-234 Andrzejów,Urszulin włodawski,lubelskie
97-438 Andrzejów,Rusiec bełchatowski,łódzkie
98-432 Andrzejów,Łubnice wieruszowski,łódzkie
98-220 Andrzejów,Zduńska Wola zduńskowolski,łódzkie
05-088 Andrzejów,Brochów sochaczewski,mazowieckie
26-704 Andrzejów,Przyłęk zwoleński,mazowieckie
96-500 Andrzejów Duranowski,Sochaczew sochaczewski,mazowieckie
23-400 Andrzejówka,Biłgoraj biłgorajski,lubelskie
22-530 Andrzejówka,Mircze hrubieszowski,lubelskie
33-370 Andrzejówka,Muszyna nowosądecki,małopolskie
26-720 Andrzejówka,Policzna zwoleński,mazowieckie
22-234 Andrzejów-Osada,Urszulin włodawski,lubelskie
05-192 Andzin,Nasielsk nowodworski,mazowieckie
14-400 Anglity,Pasłęk elbląski,warmińsko-mazurskie
89-620 Angowice,Chojnice chojnicki,pomorskie
05-300 Anielew,Mińsk Mazowiecki miński,mazowieckie
62-510 Anielew,Kramsk koniński,wielkopolskie
87-327 Anielewo,Bobrowo brodnicki,kujawsko-pomorskie
62-543 Anielewo,Kazimierz Biskupi koniński,wielkopolskie
62-410 Anielewo,Zagórów słupecki,wielkopolskie
87-851 Anielin,Boniewo włocławski,kujawsko-pomorskie
23-235 Anielin,Annopol kraśnicki,lubelskie
24-100 Anielin,Puławy puławski,lubelskie
99-306 Anielin,Łanięta kutnowski,łódzkie
98-100 Anielin,Łask łaski,łódzkie
26-315 Anielin (Fryszerka),Poświętne opoczyński,łódzkie
26-315 Anielin (Ceteń),Poświętne opoczyński,łódzkie
26-315 Anielin,Poświętne opoczyński,łódzkie
97-525 Anielin,Wielgomłyny radomszczański,łódzkie
98-313 Anielin,Konopnica wieluński,łódzkie
95-010 Anielin,Stryków zgierski,łódzkie
09-500 Anielin,Gostynin gostyniński,mazowieckie
05-622 Anielin,Belsk Duży grójecki,mazowieckie
26-930 Anielin,Garbatka-Letnisko kozienicki,mazowieckie
26-914 Anielin,Magnuszew kozienicki,mazowieckie
09-120 Anielin,Nowe Miasto płoński,mazowieckie
26-640 Anielin,Skaryszew radomski,mazowieckie
62-817 Anielin,Żelazków kaliski,wielkopolskie
64-965 Anielin,Okonek złotowski,wielkopolskie
95-010 Anielin Swędowski,Stryków zgierski,łódzkie
05-306 Anielinek,Jakubów miński,mazowieckie
72-211 Anielino,Dobra łobeski,zachodniopomorskie
89-110 Anieliny,Sadki nakielski,kujawsko-pomorskie
98-338 Anielów,Sulmierzyce pajęczański,łódzkie
08-460 Anielów,Sobolew garwoliński,mazowieckie
21-140 Anielówka,Michów lubartowski,lubelskie
22-310 Anielpol,Kraśniczyn krasnostawski,lubelskie
63-620 Aniołka Druga,Trzcinica kępiński,wielkopolskie
63-620 Aniołka Pierwsza,Trzcinica kępiński,wielkopolskie
63-620 Aniołka-Parcele,Trzcinica kępiński,wielkopolskie
63-500 Aniołki,Ostrzeszów ostrzeszowski,wielkopolskie
14-400 Aniołowo,Pasłęk elbląski,warmińsko-mazurskie
82-440 Ankamaty,Dzierzgoń sztumski,pomorskie
63-200 Annapol,Jarocin jarociński,wielkopolskie
99-311 Annetów,Bedlno kutnowski,łódzkie
21-100 Annobór,Lubartów lubartowski,lubelskie
21-100 Annobór-Kolonia,Lubartów lubartowski,lubelskie
64-520 Annogóra,Obrzycko szamotulski,wielkopolskie
97-438 Annolesie,Rusiec bełchatowski,łódzkie
42-110 Annolesie,Popów kłobucki,śląskie
22-114 Annopol,Żmudź chełmski,lubelskie
22-500 Annopol,Hrubieszów hrubieszowski,lubelskie
23-235 Annopol,Annopol kraśnicki,lubelskie
21-150 Annopol,Kock lubartowski,lubelskie
09-550 Annopol,Szczawin Kościelny gostyniński,mazowieckie
05-620 Annopol,Błędów grójecki,mazowieckie
06-300 Annopol,Przasnysz przasnyski,mazowieckie
05-282 Annopol,Strachówka wołomiński,mazowieckie
62-850 Annopol,Lisków kaliski,wielkopolskie
63-910 Annopol,Miejska Górka rawicki,wielkopolskie
97-216 Annopol Duży,Czerniewice tomaszowski,łódzkie
63-022 Annopole,Środa Wielkopolska średzki,wielkopolskie
77-416 Annopole,Tarnówka złotowski,wielkopolskie
98-220 Annopole Nowe,Zduńska Wola zduńskowolski,łódzkie
98-220 Annopole Stare,Zduńska Wola zduńskowolski,łódzkie
96-232 Annosław,Regnów rawski,łódzkie
86-330 Annowo,Gruta grudziądzki,kujawsko-pomorskie
87-890 Annowo,Lubraniec włocławski,kujawsko-pomorskie
88-410 Annowo,Gąsawa żniński,kujawsko-pomorskie
89-210 Annowo,Łabiszyn żniński,kujawsko-pomorskie
62-005 Annowo,Czerwonak poznański,wielkopolskie
23-155 Annów,Zakrzew lubelski,lubelskie
99-232 Annów,Zadzim poddębicki,łódzkie
97-216 Annów,Czerniewice tomaszowski,łódzkie
26-720 Annów,Policzna zwoleński,mazowieckie
21-150 Annówka,Kock lubartowski,lubelskie
62-831 Annówka,Mycielin kaliski,wielkopolskie
21-421 Anonin,Stanin łukowski,lubelskie
63-820 Anteczków,Piaski gostyński,wielkopolskie
21-543 Antolin,Konstantynów bialski,lubelskie
23-310 Antolin,Modliborzyce janowski,lubelskie
97-212 Antolin,Budziszewice tomaszowski,łódzkie
32-210 Antolka,Książ Wielki miechowski,małopolskie
42-320 Antolka,Niegowa myszkowski,śląskie
19-520 Antomieszki,Banie Mazurskie gołdapski,warmińsko-mazurskie
07-438 Antonia,Łyse ostrołęcki,mazowieckie
12-114 Antonia,Rozogi szczycieński,warmińsko-mazurskie
07-410 Antonie,Olszewo-Borki ostrołęcki,mazowieckie
42-110 Antonie,Popów kłobucki,śląskie
97-352 Antonielów,Łęki Szlacheckie piotrkowski,łódzkie
26-070 Antonielów,Łopuszno kielecki,świętokrzyskie
99-311 Antoniew,Bedlno kutnowski,łódzkie
99-311 Antoniew (Wilkęsy),Bedlno kutnowski,łódzkie
95-083 Antoniew,Lutomiersk pabianicki,łódzkie
95-070 Antoniew,Aleksandrów Łódzki zgierski,łódzkie
95-015 Antoniew,Głowno zgierski,łódzkie
96-513 Antoniew,Nowa Sucha sochaczewski,mazowieckie
96-315 Antoniew,Wiskitki żyrardowski,mazowieckie
74-510 Antoniewice,Trzcińsko-Zdrój gryfiński,zachodniopomorskie
73-234 Antoniewko,Bierzwnik choszczeński,zachodniopomorskie
87-704 Antoniewo,Bądkowo aleksandrowski,kujawsko-pomorskie
87-400 Antoniewo,Golub-Dobrzyń golubsko-dobrzyński,kujawsko-pomorskie
87-840 Antoniewo,Lubień Kujawski włocławski,kujawsko-pomorskie
07-310 Antoniewo,Ostrów Mazowiecka ostrowski,mazowieckie
09-213 Antoniewo,Gozdowo sierpecki,mazowieckie
09-135 Antoniewo,Siemiątkowo żuromiński,mazowieckie
89-632 Antoniewo,Brusy chojnicki,pomorskie
14-300 Antoniewo,Morąg ostródzki,warmińsko-mazurskie
64-721 Antoniewo,Lubasz czarnkowsko-,wielkopolskie
,trzcianecki,
63-910 Antoniewo,Miejska Górka rawicki,wielkopolskie
62-085 Antoniewo Górne,Skoki wągrowiecki,wielkopolskie
37-600 Antoniki,Lubaczów lubaczowski,podkarpackie
56-330 Antonin,Cieszków milicki,dolnośląskie
98-260 Antonin,Burzenin sieradzki,łódzkie
98-240 Antonin,Szadek zduńskowolski,łódzkie
18-230 Antonin,Ciechanowiec wysokomazowiecki,podlaskie
82-550 Antonin,Prabuty kwidzyński,pomorskie
63-210 Antonin,Żerków jarociński,wielkopolskie
62-862 Antonin,Szczytniki kaliski,wielkopolskie
62-862 Antonin (Kornelin),Szczytniki kaliski,wielkopolskie
62-862 Antonin (Pamiątków),Szczytniki kaliski,wielkopolskie
63-421 Antonin,Przygodzice ostrowski,wielkopolskie
62-025 Antonin,Kostrzyn poznański,wielkopolskie
97-438 Antonina,Rusiec bełchatowski,łódzkie
98-337 Antonina,Strzelce Wielkie pajęczański,łódzkie
99-200 Antonina,Poddębice poddębicki,łódzkie
05-307 Antonina,Dobre miński,mazowieckie
05-306 Antonina,Jakubów miński,mazowieckie
05-340 Antoninek,Kołbiel otwocki,mazowieckie
62-060 Antoninek,Stęszew poznański,wielkopolskie
26-332 Antoninów,Sławno opoczyński,łódzkie
96-200 Antoninów,Biała Rawska rawski,łódzkie
09-520 Antoninów,1-18 Gostynin gostyniński,mazowieckie
09-500 Antoninów,19-DK Gostynin gostyniński,mazowieckie
05-504 Antoninów,Piaseczno piaseczyński,mazowieckie
09-520 Antoninów,Łąck płocki,mazowieckie
64-520 Antoniny,Obrzycko szamotulski,wielkopolskie
58-512 Antoniów,Stara Kamienica jeleniogórski,dolnośląskie
21-020 Antoniów,Milejów łęczyński,lubelskie
26-300 Antoniów,Opoczno opoczyński,łódzkie
26-330 Antoniów,Żarnów opoczyński,łódzkie
97-512 Antoniów,Kodrąb radomszczański,łódzkie
27-310 Antoniów,Ciepielów lipski,mazowieckie
26-434 Antoniów,Gielniów przysuski,mazowieckie
26-640 Antoniów,Skaryszew radomski,mazowieckie
26-510 Antoniów,Chlewiska szydłowiecki,mazowieckie
46-040 Antoniów,Ozimek opolski,opolskie
37-455 Antoniów (Brzeźnik),Radomyśl nad Sanem stalowowolski,podkarpackie
37-455 Antoniów (Siajówka),Radomyśl nad Sanem stalowowolski,podkarpackie
37-455 Antoniów (Wola Antoniowska),Radomyśl nad Sanem stalowowolski,podkarpackie
37-455 Antoniów (Za Górą),Radomyśl nad Sanem stalowowolski,podkarpackie
37-455 Antoniów,Radomyśl nad Sanem stalowowolski,podkarpackie
42-233 Antoniów,Mykanów częstochowski,śląskie
27-423 Antoniów,Bałtów ostrowiecki,świętokrzyskie
22-315 Antoniówka,Gorzków krasnostawski,lubelskie
21-102 Antoniówka,Ostrówek lubartowski,lubelskie
23-110 Antoniówka,Krzczonów lubelski,lubelskie
23-145 Antoniówka,Wysokie lubelski,lubelskie
22-610 Antoniówka,Krynice tomaszowski,lubelskie
22-435 Antoniówka,Komarów-Osada zamojski,lubelskie
97-410 Antoniówka,Kleszczów bełchatowski,łódzkie
26-332 Antoniówka,Sławno opoczyński,łódzkie
26-630 Antoniówka,Jedlnia-Letnisko radomski,mazowieckie
26-720 Antoniówka,Policzna zwoleński,mazowieckie
37-470 Antoniówka,Zaklików stalowowolski,podkarpackie
08-480 Antoniówka Świerżowska,Maciejowice garwoliński,mazowieckie
08-480 Antoniówka Wilczkowska,Maciejowice garwoliński,mazowieckie
21-020 Antoniów-Kolonia,Milejów łęczyński,lubelskie
07-306 Antonowo,Brok ostrowski,mazowieckie
17-106 Antonowo,Orla bielski,podlaskie
11-500 Antonowo,Giżycko giżycki,warmińsko-mazurskie
42-141 Antonów,Przystajń kłobucki,śląskie
24-350 Antonówka,Chodel opolski,lubelskie
21-222 Antopol,Podedwórze parczewski,lubelskie
97-512 Antopol,Kodrąb radomszczański,łódzkie
97-512 Antopol (Bugaj Zakrzewski),Kodrąb radomszczański,łódzkie
96-514 Antosin,Rybno sochaczewski,mazowieckie
16-405 Antosin,Wiżajny suwalski,podlaskie
88-230 Anusin,Piotrków Kujawski radziejowski,kujawsko-pomorskie
22-130 Anusin,Siedliszcze chełmski,lubelskie
99-335 Anusin,Witonia łęczycki,łódzkie
99-232 Anusin,Zadzim poddębicki,łódzkie
27-310 Anusin,Ciepielów lipski,mazowieckie
17-330 Anusin,Nurzec-Stacja siemiatycki,podlaskie
17-300 Anusin (Czworaki),Siemiatycze siemiatycki,podlaskie
17-300 Anusin (Pachciarnia),Siemiatycze siemiatycki,podlaskie
17-300 Anusin,Siemiatycze siemiatycki,podlaskie
12-200 Anuszewo,Pisz piski,warmińsko-mazurskie
83-136 Aplinki,Gniew tczewski,pomorskie
97-400 Apolinów,Bełchatów bełchatowski,łódzkie
98-105 Apolonia,Wodzierady łaski,łódzkie
97-320 Apolonka,Wolbórz piotrkowski,łódzkie
42-253 Apolonka,Janów częstochowski,śląskie
11-410 Aptynty,Barciany kętrzyński,warmińsko-mazurskie
17-312 Arbasy,Drohiczyn siemiatycki,podlaskie
17-312 Arbasy (Arbasy Małe),Drohiczyn siemiatycki,podlaskie
09-100 Arcelin,Płońsk płoński,mazowieckie
09-454 Archutowo,Bodzanów płocki,mazowieckie
09-470 Archutówko,Bodzanów płocki,mazowieckie
96-520 Arciechów,Iłów sochaczewski,mazowieckie
05-255 Arciechów,Radzymin wołomiński,mazowieckie
05-255 Arciechów (Myszyniec),Radzymin wołomiński,mazowieckie
05-255 Arciechów (Dąbrowa),Radzymin wołomiński,mazowieckie
96-520 Arciechówek,Iłów sochaczewski,mazowieckie
87-851 Arciszewo,Boniewo włocławski,kujawsko-pomorskie
83-010 Arciszewo,Pruszcz Gdański gdański,pomorskie
62-220 Arcugowo,Niechanowo gnieźnieński,wielkopolskie
11-200 Ardapy,Bartoszyce bartoszycki,warmińsko-mazurskie
89-350 Arentowo,Miasteczko Krajeńskie pilski,wielkopolskie
87-731 Ariany,Waganiec aleksandrowski,kujawsko-pomorskie
99-416 Arkadia,Nieborów łowicki,łódzkie
11-410 Arklity,Barciany kętrzyński,warmińsko-mazurskie
62-635 Arkuszewo,Przedecz kolski,wielkopolskie
38-712 Arłamów,Ustrzyki Dolne bieszczadzki,podkarpackie
88-150 Arturowo,Kruszwica inowrocławski,kujawsko-pomorskie
05-300 Arynów,Mińsk Mazowiecki miński,mazowieckie
89-632 Asmus,Brusy chojnicki,pomorskie
95-001 Astachowice,Zgierz zgierski,łódzkie
11-410 Asuny,Barciany kętrzyński,warmińsko-mazurskie
26-700 Atalin,Zwoleń zwoleński,mazowieckie
64-820 Atanazyn,Szamocin chodzieski,wielkopolskie
16-304 Ateny,Nowinka augustowski,podlaskie
19-520 Audyniszki,Banie Mazurskie gołdapski,warmińsko-mazurskie
11-220 Augamy,Górowo Iławeckie bartoszycki,warmińsko-mazurskie
99-352 Augustopol,Dąbrowice kutnowski,łódzkie
87-313 Augustowo,Brzozie brodnicki,kujawsko-pomorskie
86-022 Augustowo,Dobrcz bydgoski,kujawsko-pomorskie
88-190 Augustowo,Barcin żniński,kujawsko-pomorskie
06-445 Augustowo,Strzegowo mławski,mazowieckie
06-445 Augustowo (Budy Strzegowskie),Strzegowo mławski,mazowieckie
07-210 Augustowo,Długosiodło wyszkowski,mazowieckie
17-100 Augustowo,Bielsk Podlaski bielski,podlaskie
17-100 Augustowo (Na Brańskiej),Bielsk Podlaski bielski,podlaskie
12-120 Augustowo,Dźwierzuty szczycieński,warmińsko-mazurskie
64-050 Augustowo,Wielichowo grodziski,wielkopolskie
64-130 Augustowo,Rydzyna leszczyński,wielkopolskie
64-423 Augustowo,Kwilcz międzychodzki,wielkopolskie
77-430 Augustowo,Krajenka złotowski,wielkopolskie
26-340 Augustów,Drzewica opoczyński,łódzkie
98-332 Augustów,Rząśnia pajęczański,łódzkie
26-902 Augustów,Grabów nad Pilicą kozienicki,mazowieckie
06-408 Augustów,Krasne przasnyski,mazowieckie
26-624 Augustów,Kowala radomski,mazowieckie
26-670 Augustów,Pionki radomski,mazowieckie
16-300 Augustów,Augustów augustowski,podlaskie
05-152 Augustówek,Czosnów nowodworski,mazowieckie
21-220 Augustówka,Siemień parczewski,lubelskie
08-445 Augustówka,Osieck otwocki,mazowieckie
17-330 Augustynka,Nurzec-Stacja siemiatycki,podlaskie
87-865 Augustynowo,Izbica Kujawska włocławski,kujawsko-pomorskie
97-400 Augustynów,Bełchatów bełchatowski,łódzkie
98-290 Augustynów,Warta sieradzki,łódzkie
98-360 Augustynów,Lututów wieruszowski,łódzkie
62-660 Augustynów (Bór),Dąbie kolski,wielkopolskie
62-660 Augustynów,Dąbie kolski,wielkopolskie
62-410 Augustynów,Zagórów słupecki,wielkopolskie
11-130 Augustyny,Orneta lidzbarski,warmińsko-mazurskie
