PNA;CITY;ADRESS;WOJ;MUN;COU;Concat;Test
16-423; Aleksandrowo;bakałarzewo suwalski;podlaskie;bakałarzewo;suwalski;bakałarzewo suwalski;PRAWDA
12-250; Aleksandrowo;orzysz piski;warmińsko-mazurskie;orzysz;piski;orzysz piski;PRAWDA
63-800; Aleksandrowo;gostyń gostyński;wielkopolskie;gostyń;gostyński;gostyń gostyński;PRAWDA
64-308; Aleksandrowo;rakoniewice grodziski;wielkopolskie;rakoniewice;grodziski;rakoniewice grodziski;PRAWDA
64-400; Aleksandrowo;międzychód międzychodzki;wielkopolskie;międzychód;międzychodzki;międzychód międzychodzki;PRAWDA
62-120; Aleksandrowo;wapno wągrowiecki;wielkopolskie;wągrowiec;wągrowiecki;wągrowiec wągrowiecki;FA�SZ
23-408; Aleksandrów (Aleksandrów Trzeci);aleksandrów biłgorajski;lubelskie;goraj;biłgorajski;goraj biłgorajski;FA�SZ
23-408; Aleksandrów;aleksandrów biłgorajski;lubelskie;goraj;biłgorajski;goraj biłgorajski;FA�SZ
23-408; Aleksandrów (Aleksandrów Drugi);aleksandrów biłgorajski;lubelskie;goraj;biłgorajski;goraj biłgorajski;FA�SZ
23-408; Aleksandrów (Aleksandrów Pierwszy);aleksandrów biłgorajski;lubelskie;goraj;biłgorajski;goraj biłgorajski;FA�SZ
23-275; Aleksandrów;gościeradów kraśnicki;lubelskie;gościeradów;kraśnicki;gościeradów kraśnicki;PRAWDA
21-400; Aleksandrów;łuków łukowski;lubelskie;łuków;łukowski;łuków łukowski;PRAWDA
21-421; Aleksandrów;stanin łukowski;lubelskie;stanin;łukowski;stanin łukowski;PRAWDA
97-438; Aleksandrów;rusiec bełchatowski;łódzkie;rusiec;bełchatowski;rusiec bełchatowski;PRAWDA
99-307; Aleksandrów;strzelce kutnowski;łódzkie;strzelce;kutnowski;strzelce kutnowski;PRAWDA
99-319; Aleksandrów;żychlin kutnowski;łódzkie;żychlin;kutnowski;żychlin kutnowski;PRAWDA
26-337; Aleksandrów;aleksandrów piotrkowski;łódzkie;aleksandrów;piotrkowski;aleksandrów piotrkowski;PRAWDA
97-360; Aleksandrów;kamieńsk radomszczański;łódzkie;radom;radomszczański;radom radomszczański;FA�SZ
96-230; Aleksandrów;biała rawska rawski;łódzkie;biała rawska;rawski;biała rawska rawski;PRAWDA
97-225; Aleksandrów;ujazd tomaszowski;łódzkie;ujazd;tomaszowski;ujazd tomaszowski;PRAWDA
26-811; Aleksandrów;wyśmierzyce białobrzeski;mazowieckie;wyśmierzyce;brzeski;wyśmierzyce brzeski;FA�SZ
