teryt,municipality,county,voivodeship
0224063,Ziębice,ząbkowicki,dolnośląskie
0224073,Złoty Stok,ząbkowicki,dolnośląskie
0225011,Zawidów,zgorzelecki,dolnośląskie
0225021,Zgorzelec,zgorzelecki,dolnośląskie
0225033,Bogatynia,zgorzelecki,dolnośląskie
0225043,Pieńsk,zgorzelecki,dolnośląskie
0225052,Sulików,zgorzelecki,dolnośląskie
0225063,Węgliniec,zgorzelecki,dolnośląskie
0225072,Zgorzelec,zgorzelecki,dolnośląskie
0226011,Wojcieszów,złotoryjski,dolnośląskie
0226021,Złotoryja,złotoryjski,dolnośląskie
0226032,Pielgrzymka,złotoryjski,dolnośląskie
0226043,Świerzawa,złotoryjski,dolnośląskie
0226052,Zagrodno,złotoryjski,dolnośląskie
0226062,Złotoryja,złotoryjski,dolnośląskie
0261011,Jelenia Góra,Jelenia Góra,dolnośląskie
0262011,Legnica,Legnica,dolnośląskie
0264011,Wrocław,Wrocław,dolnośląskie
0265011,Wałbrzych,Wałbrzych,dolnośląskie
0401011,Aleksandrów Kujawski,aleksandrowski,kujawsko-pomorskie
0401021,Ciechocinek,aleksandrowski,kujawsko-pomorskie
0401031,Nieszawa,aleksandrowski,kujawsko-pomorskie
0401042,Aleksandrów Kujawski,aleksandrowski,kujawsko-pomorskie
0401052,Bądkowo,aleksandrowski,kujawsko-pomorskie
0401062,Koneck,aleksandrowski,kujawsko-pomorskie
0401072,Raciążek,aleksandrowski,kujawsko-pomorskie
0401082,Waganiec,aleksandrowski,kujawsko-pomorskie
0401092,Zakrzewo,aleksandrowski,kujawsko-pomorskie
0402011,Brodnica,brodnicki,kujawsko-pomorskie
0402022,Bobrowo,brodnicki,kujawsko-pomorskie
0402032,Brodnica,brodnicki,kujawsko-pomorskie
0402042,Brzozie,brodnicki,kujawsko-pomorskie
0402053,Górzno,brodnicki,kujawsko-pomorskie
0402062,Bartniczka,brodnicki,kujawsko-pomorskie
0402073,Jabłonowo Pomorskie,brodnicki,kujawsko-pomorskie
0402082,Osiek,brodnicki,kujawsko-pomorskie
0402092,Świedziebnia,brodnicki,kujawsko-pomorskie
0402102,Zbiczno,brodnicki,kujawsko-pomorskie
0403012,Białe Błota,bydgoski,kujawsko-pomorskie
0403022,Dąbrowa Chełmińska,bydgoski,kujawsko-pomorskie
0403032,Dobrcz,bydgoski,kujawsko-pomorskie
0403043,Koronowo,bydgoski,kujawsko-pomorskie
0403052,Nowa Wieś Wielka,bydgoski,kujawsko-pomorskie
0403062,Osielsko,bydgoski,kujawsko-pomorskie
0403072,Sicienko,bydgoski,kujawsko-pomorskie
0403083,Solec Kujawski,bydgoski,kujawsko-pomorskie
0404011,Chełmno,chełmiński,kujawsko-pomorskie
0404022,Chełmno,chełmiński,kujawsko-pomorskie
0404032,Kijewo Królewskie,chełmiński,kujawsko-pomorskie
0404042,Lisewo,chełmiński,kujawsko-pomorskie
0404052,Papowo Biskupie,chełmiński,kujawsko-pomorskie
0404062,Stolno,chełmiński,kujawsko-pomorskie
0404072,Unisław,chełmiński,kujawsko-pomorskie
0405011,Golub-Dobrzyń,golubsko-dobrzyński,kujawsko-pomorskie
0405022,Ciechocin,golubsko-dobrzyński,kujawsko-pomorskie
0405032,Golub-Dobrzyń,golubsko-dobrzyński,kujawsko-pomorskie
0405043,Kowalewo Pomorskie,golubsko-dobrzyński,kujawsko-pomorskie
0405052,Radomin,golubsko-dobrzyński,kujawsko-pomorskie
0405062,Zbójno,golubsko-dobrzyński,kujawsko-pomorskie
0406012,Grudziądz,grudziądzki,kujawsko-pomorskie
0406022,Gruta,grudziądzki,kujawsko-pomorskie
0406033,Łasin,grudziądzki,kujawsko-pomorskie
0406043,Radzyń Chełmiński,grudziądzki,kujawsko-pomorskie
0406052,Rogóźno,grudziądzki,kujawsko-pomorskie
0406062,Świecie nad Osą,grudziądzki,kujawsko-pomorskie
0407011,Inowrocław,inowrocławski,kujawsko-pomorskie
0407022,Dąbrowa Biskupia,inowrocławski,kujawsko-pomorskie
0407033,Gniewkowo,inowrocławski,kujawsko-pomorskie
0407042,Inowrocław,inowrocławski,kujawsko-pomorskie
0407053,Janikowo,inowrocławski,kujawsko-pomorskie
0407063,Kruszwica,inowrocławski,kujawsko-pomorskie
0407073,Pakość,inowrocławski,kujawsko-pomorskie
0407082,Rojewo,inowrocławski,kujawsko-pomorskie
0407092,Złotniki Kujawskie,inowrocławski,kujawsko-pomorskie
0408011,Lipno,lipnowski,kujawsko-pomorskie
0408022,Bobrowniki,lipnowski,kujawsko-pomorskie
0408032,Chrostkowo,lipnowski,kujawsko-pomorskie
0408043,Dobrzyń nad Wisłą,lipnowski,kujawsko-pomorskie
0408052,Kikół,lipnowski,kujawsko-pomorskie
0408062,Lipno,lipnowski,kujawsko-pomorskie
0408073,Skępe,lipnowski,kujawsko-pomorskie
0408082,Tłuchowo,lipnowski,kujawsko-pomorskie
0408092,Wielgie,lipnowski,kujawsko-pomorskie
0409012,Dąbrowa,mogileński,kujawsko-pomorskie
0409022,Jeziora Wielkie,mogileński,kujawsko-pomorskie
0409033,Mogilno,mogileński,kujawsko-pomorskie
0409043,Strzelno,mogileński,kujawsko-pomorskie
0410013,Kcynia,nakielski,kujawsko-pomorskie
0410023,Mrocza,nakielski,kujawsko-pomorskie
0410033,Nakło nad Notecią,nakielski,kujawsko-pomorskie
0410042,Sadki,nakielski,kujawsko-pomorskie
0410053,Szubin,nakielski,kujawsko-pomorskie
0411011,Radziejów,radziejowski,kujawsko-pomorskie
0411022,Bytoń,radziejowski,kujawsko-pomorskie
0411032,Dobre,radziejowski,kujawsko-pomorskie
0411042,Osięciny,radziejowski,kujawsko-pomorskie
0411053,Piotrków Kujawski,radziejowski,kujawsko-pomorskie
0411062,Radziejów,radziejowski,kujawsko-pomorskie
0411072,Topólka,radziejowski,kujawsko-pomorskie
0412011,Rypin,rypiński,kujawsko-pomorskie
0412022,Brzuze,rypiński,kujawsko-pomorskie
0412032,Rogowo,rypiński,kujawsko-pomorskie
0412042,Rypin,rypiński,kujawsko-pomorskie
0412052,Skrwilno,rypiński,kujawsko-pomorskie
0412062,Wąpielsk,rypiński,kujawsko-pomorskie
0413013,Kamień Krajeński,sępoleński,kujawsko-pomorskie
0413023,Sępólno Krajeńskie,sępoleński,kujawsko-pomorskie
0413032,Sośno,sępoleński,kujawsko-pomorskie
0413043,Więcbork,sępoleński,kujawsko-pomorskie
0414012,Bukowiec,świecki,kujawsko-pomorskie
0414022,Dragacz,świecki,kujawsko-pomorskie
0414032,Drzycim,świecki,kujawsko-pomorskie
0414042,Jeżewo,świecki,kujawsko-pomorskie
0414052,Lniano,świecki,kujawsko-pomorskie
0414063,Nowe,świecki,kujawsko-pomorskie
0414072,Osie,świecki,kujawsko-pomorskie
0414082,Pruszcz,świecki,kujawsko-pomorskie
0414093,Świecie,świecki,kujawsko-pomorskie
0414102,Świekatowo,świecki,kujawsko-pomorskie
0414112,Warlubie,świecki,kujawsko-pomorskie
0415011,Chełmża,toruński,kujawsko-pomorskie
0415022,Chełmża,toruński,kujawsko-pomorskie
0415032,Czernikowo,toruński,kujawsko-pomorskie
0415042,Lubicz,toruński,kujawsko-pomorskie
0415052,Łubianka,toruński,kujawsko-pomorskie
0415062,Łysomice,toruński,kujawsko-pomorskie
0415072,Obrowo,toruński,kujawsko-pomorskie
0415082,Wielka Nieszawka,toruński,kujawsko-pomorskie
0415092,Zławieś Wielka,toruński,kujawsko-pomorskie
0416012,Cekcyn,tucholski,kujawsko-pomorskie
0416022,Gostycyn,tucholski,kujawsko-pomorskie
0416032,Kęsowo,tucholski,kujawsko-pomorskie
0416042,Lubiewo,tucholski,kujawsko-pomorskie
0416052,Śliwice,tucholski,kujawsko-pomorskie
0416063,Tuchola,tucholski,kujawsko-pomorskie
0417011,Wąbrzeźno,wąbrzeski,kujawsko-pomorskie
0417022,Dębowa Łąka,wąbrzeski,kujawsko-pomorskie
0417032,Książki,wąbrzeski,kujawsko-pomorskie
0417042,Płużnica,wąbrzeski,kujawsko-pomorskie
0417052,Ryńsk,wąbrzeski,kujawsko-pomorskie
0418011,Kowal,włocławski,kujawsko-pomorskie
0418022,Baruchowo,włocławski,kujawsko-pomorskie
0418032,Boniewo,włocławski,kujawsko-pomorskie
0418043,Brześć Kujawski,włocławski,kujawsko-pomorskie
0418052,Choceń,włocławski,kujawsko-pomorskie
0418063,Chodecz,włocławski,kujawsko-pomorskie
0418072,Fabianki,włocławski,kujawsko-pomorskie
0418083,Izbica Kujawska,włocławski,kujawsko-pomorskie
0418092,Kowal,włocławski,kujawsko-pomorskie
0418102,Lubanie,włocławski,kujawsko-pomorskie
0418113,Lubień Kujawski,włocławski,kujawsko-pomorskie
0418123,Lubraniec,włocławski,kujawsko-pomorskie
0418132,Włocławek,włocławski,kujawsko-pomorskie
0419013,Barcin,żniński,kujawsko-pomorskie
0419022,Gąsawa,żniński,kujawsko-pomorskie
0419033,Janowiec Wielkopolski,żniński,kujawsko-pomorskie
0419043,Łabiszyn,żniński,kujawsko-pomorskie
0419052,Rogowo,żniński,kujawsko-pomorskie
0419063,Żnin,żniński,kujawsko-pomorskie
0461011,Bydgoszcz,Bydgoszcz,kujawsko-pomorskie
0462011,Grudziądz,Grudziądz,kujawsko-pomorskie
0463011,Toruń,Toruń,kujawsko-pomorskie
0464011,Włocławek,Włocławek,kujawsko-pomorskie
0601011,Międzyrzec Podlaski,bialski,lubelskie
0601021,Terespol,bialski,lubelskie
0601032,Biała Podlaska,bialski,lubelskie
0601042,Drelów,bialski,lubelskie
0601052,Janów Podlaski,bialski,lubelskie
0601062,Kodeń,bialski,lubelskie
0601072,Konstantynów,bialski,lubelskie
0601082,Leśna Podlaska,bialski,lubelskie
0601092,Łomazy,bialski,lubelskie
0601102,Międzyrzec Podlaski,bialski,lubelskie
0601112,Piszczac,bialski,lubelskie
0601122,Rokitno,bialski,lubelskie
0601132,Rossosz,bialski,lubelskie
0601142,Sławatycze,bialski,lubelskie
0601152,Sosnówka,bialski,lubelskie
0601162,Terespol,bialski,lubelskie
0601172,Tuczna,bialski,lubelskie
0601182,Wisznice,bialski,lubelskie
0601192,Zalesie,bialski,lubelskie
0602011,Biłgoraj,biłgorajski,lubelskie
0602022,Aleksandrów,biłgorajski,lubelskie
0602032,Biłgoraj,biłgorajski,lubelskie
0602042,Biszcza,biłgorajski,lubelskie
0602053,Frampol,biłgorajski,lubelskie
0602063,Goraj,biłgorajski,lubelskie
0602073,Józefów,biłgorajski,lubelskie
0602082,Księżpol,biłgorajski,lubelskie
0602092,Łukowa,biłgorajski,lubelskie
0602102,Obsza,biłgorajski,lubelskie
0602112,Potok Górny,biłgorajski,lubelskie
0602123,Tarnogród,biłgorajski,lubelskie
0602132,Tereszpol,biłgorajski,lubelskie
0602142,Turobin,biłgorajski,lubelskie
0603011,Rejowiec Fabryczny,chełmski,lubelskie
0603022,Białopole,chełmski,lubelskie
0603032,Chełm,chełmski,lubelskie
0603042,Dorohusk,chełmski,lubelskie
0603052,Dubienka,chełmski,lubelskie
0603062,Kamień,chełmski,lubelskie
0603072,Leśniowice,chełmski,lubelskie
0603082,Rejowiec Fabryczny,chełmski,lubelskie
0603092,Ruda-Huta,chełmski,lubelskie
0603102,Sawin,chełmski,lubelskie
0603113,Siedliszcze,chełmski,lubelskie
0603122,Wierzbica,chełmski,lubelskie
0603132,Wojsławice,chełmski,lubelskie
0603142,Żmudź,chełmski,lubelskie
0603153,Rejowiec,chełmski,lubelskie
0604011,Hrubieszów,hrubieszowski,lubelskie
0604022,Dołhobyczów,hrubieszowski,lubelskie
0604032,Horodło,hrubieszowski,lubelskie
0604042,Hrubieszów,hrubieszowski,lubelskie
0604052,Mircze,hrubieszowski,lubelskie
0604062,Trzeszczany,hrubieszowski,lubelskie
0604072,Uchanie,hrubieszowski,lubelskie
0604082,Werbkowice,hrubieszowski,lubelskie
0605012,Batorz,janowski,lubelskie
0605022,Chrzanów,janowski,lubelskie
0605032,Dzwola,janowski,lubelskie
0605042,Godziszów,janowski,lubelskie
0605053,Janów Lubelski,janowski,lubelskie
0605063,Modliborzyce,janowski,lubelskie
0605072,Potok Wielki,janowski,lubelskie
0606011,Krasnystaw,krasnostawski,lubelskie
0606022,Fajsławice,krasnostawski,lubelskie
0606032,Gorzków,krasnostawski,lubelskie
0606042,Izbica,krasnostawski,lubelskie
0606052,Krasnystaw,krasnostawski,lubelskie
0606062,Kraśniczyn,krasnostawski,lubelskie
0606072,Łopiennik Górny,krasnostawski,lubelskie
0606092,Rudnik,krasnostawski,lubelskie
0606102,Siennica Różana,krasnostawski,lubelskie
0606112,Żółkiewka,krasnostawski,lubelskie
0607011,Kraśnik,kraśnicki,lubelskie
0607023,Annopol,kraśnicki,lubelskie
0607032,Dzierzkowice,kraśnicki,lubelskie
0607042,Gościeradów,kraśnicki,lubelskie
0607052,Kraśnik,kraśnicki,lubelskie
0607062,Szastarka,kraśnicki,lubelskie
0607072,Trzydnik Duży,kraśnicki,lubelskie
0607083,Urzędów,kraśnicki,lubelskie
0607092,Wilkołaz,kraśnicki,lubelskie
0607102,Zakrzówek,kraśnicki,lubelskie
0608011,Lubartów,lubartowski,lubelskie
0608022,Abramów,lubartowski,lubelskie
0608032,Firlej,lubartowski,lubelskie
0608042,Jeziorzany,lubartowski,lubelskie
0608053,Kamionka,lubartowski,lubelskie
0608063,Kock,lubartowski,lubelskie
0608072,Lubartów,lubartowski,lubelskie
0608082,Michów,lubartowski,lubelskie
0608092,Niedźwiada,lubartowski,lubelskie
0608103,Ostrów Lubelski,lubartowski,lubelskie
0608112,Ostrówek,lubartowski,lubelskie
0608122,Serniki,lubartowski,lubelskie
0608132,Uścimów,lubartowski,lubelskie
0609013,Bełżyce,lubelski,lubelskie
0609022,Borzechów,lubelski,lubelskie
0609033,Bychawa,lubelski,lubelskie
0609042,Garbów,lubelski,lubelskie
0609052,Głusk,lubelski,lubelskie
0609062,Jabłonna,lubelski,lubelskie
0609072,Jastków,lubelski,lubelskie
0609082,Konopnica,lubelski,lubelskie
0609092,Krzczonów,lubelski,lubelskie
0609102,Niedrzwica Duża,lubelski,lubelskie
0609112,Niemce,lubelski,lubelskie
0609122,Strzyżewice,lubelski,lubelskie
0609132,Wojciechów,lubelski,lubelskie
0609142,Wólka,lubelski,lubelskie
0609152,Wysokie,lubelski,lubelskie
0609162,Zakrzew,lubelski,lubelskie
0610012,Cyców,łęczyński,lubelskie
0610022,Ludwin,łęczyński,lubelskie
0610033,Łęczna,łęczyński,lubelskie
0610042,Milejów,łęczyński,lubelskie
0610052,Puchaczów,łęczyński,lubelskie
0610062,Spiczyn,łęczyński,lubelskie
0611011,Łuków,łukowski,lubelskie
0611021,Stoczek Łukowski,łukowski,lubelskie
0611032,Adamów,łukowski,lubelskie
0611042,Krzywda,łukowski,lubelskie
0611052,Łuków,łukowski,lubelskie
0611062,Serokomla,łukowski,lubelskie
0611072,Stanin,łukowski,lubelskie
0611082,Stoczek Łukowski,łukowski,lubelskie
0611092,Trzebieszów,łukowski,lubelskie
0611102,Wojcieszków,łukowski,lubelskie
0611112,Wola Mysłowska,łukowski,lubelskie
0612012,Chodel,opolski,lubelskie
0612023,Józefów nad Wisłą,opolski,lubelskie
0612032,Karczmiska,opolski,lubelskie
0612042,Łaziska,opolski,lubelskie
0612053,Opole Lubelskie,opolski,lubelskie
0612063,Poniatowa,opolski,lubelskie
0612072,Wilków,opolski,lubelskie
0613012,Dębowa Kłoda,parczewski,lubelskie
0613022,Jabłoń,parczewski,lubelskie
0613032,Milanów,parczewski,lubelskie
0613043,Parczew,parczewski,lubelskie
0613052,Podedwórze,parczewski,lubelskie
0613062,Siemień,parczewski,lubelskie
0613072,Sosnowica,parczewski,lubelskie
0614011,Puławy,puławski,lubelskie
0614022,Baranów,puławski,lubelskie
0614032,Janowiec,puławski,lubelskie
0614043,Kazimierz Dolny,puławski,lubelskie
0614052,Końskowola,puławski,lubelskie
0614062,Kurów,puławski,lubelskie
0614072,Markuszów,puławski,lubelskie
0614083,Nałęczów,puławski,lubelskie
0614092,Puławy,puławski,lubelskie
0614102,Wąwolnica,puławski,lubelskie
0614112,Żyrzyn,puławski,lubelskie
0615011,Radzyń Podlaski,radzyński,lubelskie
0615022,Borki,radzyński,lubelskie
0615032,Czemierniki,radzyński,lubelskie
0615042,Kąkolewnica,radzyński,lubelskie
0615052,Komarówka Podlaska,radzyński,lubelskie
0615062,Radzyń Podlaski,radzyński,lubelskie
0615072,Ulan-Majorat,radzyński,lubelskie
0615082,Wohyń,radzyński,lubelskie
0616011,Dęblin,rycki,lubelskie
0616022,Kłoczew,rycki,lubelskie
0616032,Nowodwór,rycki,lubelskie
0616043,Ryki,rycki,lubelskie
0616052,Stężyca,rycki,lubelskie
0616062,Ułęż,rycki,lubelskie
0617011,Świdnik,świdnicki,lubelskie
0617022,Mełgiew,świdnicki,lubelskie
0617033,Piaski,świdnicki,lubelskie
0617042,Rybczewice,świdnicki,lubelskie
0617052,Trawniki,świdnicki,lubelskie
0618011,Tomaszów Lubelski,tomaszowski,lubelskie
0618022,Bełżec,tomaszowski,lubelskie
0618032,Jarczów,tomaszowski,lubelskie
0618042,Krynice,tomaszowski,lubelskie
0618053,Lubycza Królewska,tomaszowski,lubelskie
0618063,Łaszczów,tomaszowski,lubelskie
0618072,Rachanie,tomaszowski,lubelskie
0618082,Susiec,tomaszowski,lubelskie
0618092,Tarnawatka,tomaszowski,lubelskie
0618102,Telatyn,tomaszowski,lubelskie
0618112,Tomaszów Lubelski,tomaszowski,lubelskie
0618123,Tyszowce,tomaszowski,lubelskie
0618132,Ulhówek,tomaszowski,lubelskie
0619011,Włodawa,włodawski,lubelskie
0619022,Hanna,włodawski,lubelskie
0619032,Hańsk,włodawski,lubelskie
0619042,Stary Brus,włodawski,lubelskie
0619052,Urszulin,włodawski,lubelskie
0619062,Włodawa,włodawski,lubelskie
0619072,Wola Uhruska,włodawski,lubelskie
0619082,Wyryki,włodawski,lubelskie
0620012,Adamów,zamojski,lubelskie
0620022,Grabowiec,zamojski,lubelskie
0620032,Komarów-Osada,zamojski,lubelskie
0620043,Krasnobród,zamojski,lubelskie
0620052,Łabunie,zamojski,lubelskie
0620062,Miączyn,zamojski,lubelskie
0620072,Nielisz,zamojski,lubelskie
0620082,Radecznica,zamojski,lubelskie
0620092,Sitno,zamojski,lubelskie
0620102,Skierbieszów,zamojski,lubelskie
0620112,Stary Zamość,zamojski,lubelskie
0620122,Sułów,zamojski,lubelskie
0620133,Szczebrzeszyn,zamojski,lubelskie
0620142,Zamość,zamojski,lubelskie
0620153,Zwierzyniec,zamojski,lubelskie
0661011,Biała Podlaska,Biała Podlaska,lubelskie
0662011,Chełm,Chełm,lubelskie
0663011,Lublin,Lublin,lubelskie
0664011,Zamość,Zamość,lubelskie
0801011,Kostrzyn nad Odrą,gorzowski,lubuskie
0801022,Bogdaniec,gorzowski,lubuskie
0801032,Deszczno,gorzowski,lubuskie
0801042,Kłodawa,gorzowski,lubuskie
0801052,Lubiszyn,gorzowski,lubuskie
0801062,Santok,gorzowski,lubuskie
0801073,Witnica,gorzowski,lubuskie
0802011,Gubin,krośnieński,lubuskie
0802022,Bobrowice,krośnieński,lubuskie
0802032,Bytnica,krośnieński,lubuskie
0802042,Dąbie,krośnieński,lubuskie
0802052,Gubin,krośnieński,lubuskie
0802063,Krosno Odrzańskie,krośnieński,lubuskie
0802072,Maszewo,krośnieński,lubuskie
0803012,Bledzew,międzyrzecki,lubuskie
0803023,Międzyrzecz,międzyrzecki,lubuskie
0803032,Przytoczna,międzyrzecki,lubuskie
0803042,Pszczew,międzyrzecki,lubuskie
0803053,Skwierzyna,międzyrzecki,lubuskie
0803063,Trzciel,międzyrzecki,lubuskie
0804011,Nowa Sól,nowosolski,lubuskie
0804023,Bytom Odrzański,nowosolski,lubuskie
0804032,Kolsko,nowosolski,lubuskie
0804043,Kożuchów,nowosolski,lubuskie
0804052,Nowa Sól,nowosolski,lubuskie
0804063,Nowe Miasteczko,nowosolski,lubuskie
0804073,Otyń,nowosolski,lubuskie
0804082,Siedlisko,nowosolski,lubuskie
